Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.7,0.000,0.000
2,-7.3,18.377,21.412
3,-7.3,20.852,24.220
4,-7.2,18.746,21.661
5,-7.1,19.404,22.881
6,-7.1,16.677,20.228
7,-7.1,20.410,23.834
8,-7.0,18.079,19.842
9,-7.0,19.677,22.905
