Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.3,0.000,0.000
2,-6.2,10.538,13.022
3,-6.1,10.911,13.461
4,-5.9,10.455,13.051
5,-5.9,9.638,12.075
6,-5.6,5.635,9.208
7,-5.6,12.744,17.888
8,-5.5,4.445,10.810
9,-5.4,6.046,10.035
