Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-5.9,0.000,0.000
2,-5.8,10.034,12.618
3,-5.7,6.134,8.694
4,-5.7,9.694,11.057
5,-5.7,9.756,10.933
6,-5.6,9.168,10.524
7,-5.6,9.409,10.830
8,-5.4,9.370,10.189
9,-5.4,12.349,13.543
