Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-5.9,0.000,0.000
2,-5.8,3.495,5.845
3,-5.6,2.757,4.134
4,-5.6,6.009,9.230
5,-5.5,2.343,4.438
6,-5.5,2.521,4.364
7,-5.5,5.021,8.534
8,-5.5,5.571,9.233
9,-5.2,5.535,8.804
