Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.2,0.000,0.000
2,-6.1,3.868,6.334
3,-6.1,4.848,6.668
4,-6.0,3.900,5.235
5,-6.0,2.849,4.945
6,-5.9,2.162,3.286
7,-5.6,3.133,5.393
8,-5.5,3.398,4.886
9,-5.4,3.506,6.191
