Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-4.9,0.000,0.000
2,-4.7,8.177,8.590
3,-4.1,8.959,9.356
4,-4.0,8.999,9.617
5,-3.9,9.160,10.019
6,-3.8,9.320,10.002
7,-3.8,9.845,10.037
8,-3.7,22.967,23.332
9,-3.7,9.146,9.931
