Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-5.9,0.000,0.000
2,-5.7,2.957,4.438
3,-5.6,1.663,5.190
4,-5.5,2.666,5.150
5,-5.3,1.897,5.605
6,-5.2,2.434,4.847
7,-5.2,2.032,5.744
8,-5.1,1.334,4.548
9,-5.1,3.468,6.018
