Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.2,0.000,0.000
2,-7.1,3.925,5.360
3,-7.1,4.014,6.901
4,-6.9,6.470,10.464
5,-6.9,3.155,6.191
6,-6.8,3.592,6.858
7,-6.5,3.533,5.918
8,-6.5,7.503,11.762
9,-6.4,3.813,6.231
