Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.5,0.000,0.000
2,-7.1,6.390,7.740
3,-7.1,6.318,7.857
4,-7.0,5.849,8.395
5,-7.0,1.370,1.886
6,-6.8,12.913,15.046
7,-6.8,5.753,7.675
8,-6.7,9.206,11.849
9,-6.6,7.282,11.453
