Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-5.7,0.000,0.000
2,-5.5,2.283,5.238
3,-5.4,2.370,5.149
4,-5.4,2.609,3.725
5,-5.2,1.398,2.232
6,-5.2,4.087,6.323
7,-5.1,21.889,23.612
8,-5.0,8.763,11.108
9,-5.0,2.907,3.988
