Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-5.6,0.000,0.000
2,-5.3,21.649,24.184
3,-5.3,2.210,4.035
4,-5.2,1.285,2.727
5,-5.2,4.338,5.611
6,-5.2,2.693,3.707
7,-5.1,2.440,3.183
8,-5.1,3.757,5.719
9,-4.8,3.402,5.306
