Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-4.0,0.000,0.000
2,-3.9,12.849,13.520
3,-3.9,10.908,12.801
4,-3.8,3.330,4.062
5,-3.7,13.623,14.265
6,-3.7,3.669,4.383
7,-3.7,4.323,5.120
8,-3.7,13.510,14.191
9,-3.7,3.174,3.768
