Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.0,0.000,0.000
2,-5.6,3.827,8.285
3,-5.6,2.423,4.465
4,-5.5,3.664,8.110
5,-5.5,3.384,7.245
6,-5.4,1.843,4.417
7,-5.3,3.729,8.121
8,-5.3,1.690,2.505
9,-5.3,2.194,5.827
